index,algorithm,m,time_mean,time_std
211,QuickSort3Way,367,0.020816700000068522,0.0
212,QuickSort3Way,413,0.023399499999868567,0.0
213,QuickSort3Way,464,0.014280499997767038,0.0
214,QuickSort3Way,521,0.02436649999981455,0.0
215,QuickSort3Way,585,0.026506500000323285,0.0
216,QuickSort3Way,657,0.030425900000409456,0.0
217,QuickSort3Way,739,0.012426000001141801,0.0
218,QuickSort3Way,830,0.014879199999995762,0.0
219,QuickSort3Way,932,0.024256700000478304,0.0
220,QuickSort3Way,1047,0.009351099999548751,0.0
221,QuickSort3Way,1176,0.010764000000563101,0.0
222,QuickSort3Way,1321,0.031068800002685748,0.0
223,QuickSort3Way,1484,0.022269499999310938,0.0
224,QuickSort3Way,1668,0.014765799998713192,0.0
225,QuickSort3Way,1873,0.030401799998799106,0.0
226,QuickSort3Way,2104,0.028821600000810577,0.0
227,QuickSort3Way,2364,0.026731400001153816,0.0
228,QuickSort3Way,2656,0.027133800000228803,0.0
229,QuickSort3Way,2983,0.02375000000029104,0.0
230,QuickSort3Way,3351,0.024227500000051805,0.0
231,QuickSort3Way,3764,0.04263840000021446,0.0
232,QuickSort3Way,4229,0.018485200002032798,0.0
233,QuickSort3Way,4750,0.042990500000087195,0.0
234,QuickSort3Way,5336,0.02440759999990405,0.0
235,QuickSort3Way,5994,0.022175899997819215,0.0
236,QuickSort3Way,6734,0.0237304000002041,0.0
237,QuickSort3Way,7564,0.043474500000229455,0.0
238,QuickSort3Way,8497,0.027222700000493205,0.0
239,QuickSort3Way,9545,0.027467300000353134,0.0
240,QuickSort3Way,10722,0.02786999999989348,0.0
241,QuickSort3Way,12045,0.043026899998949375,0.0
242,QuickSort3Way,13530,0.02295600000070408,0.0
243,QuickSort3Way,15199,0.03445319999991625,0.0
244,QuickSort3Way,17073,0.018843999998352956,0.0
245,QuickSort3Way,19179,0.02749990000120306,0.0
246,QuickSort3Way,21544,0.024194199999328703,0.0
247,QuickSort3Way,24201,0.03138340000077733,0.0
248,QuickSort3Way,27185,0.016069500001322012,0.0
249,QuickSort3Way,30538,0.03339910000067903,0.0
250,QuickSort3Way,34304,0.02581619999727991,0.0
251,QuickSort3Way,38535,0.032083899999634014,0.0
252,QuickSort3Way,43287,0.04485079999903974,0.0
253,QuickSort3Way,48626,0.0455443999999261,0.0
254,QuickSort3Way,54622,0.031190600000627455,0.0
255,QuickSort3Way,61359,0.021360900000217953,0.0
256,QuickSort3Way,68926,0.029296099999555736,0.0
257,QuickSort3Way,77426,0.03865169999880891,0.0
258,QuickSort3Way,86974,0.023545199999716715,0.0
259,QuickSort3Way,97700,0.04137570000057167,0.0
260,QuickSort3Way,109749,0.02145070000005944,0.0
261,QuickSort3Way,123284,0.0507023999998637,0.0
262,QuickSort3Way,138488,0.01562769999873126,0.0
263,QuickSort3Way,155567,0.02107090000026801,0.0
264,QuickSort3Way,174752,0.02401139999892621,0.0
265,QuickSort3Way,196304,0.0370308000001387,0.0
266,QuickSort3Way,220513,0.027805699999589706,0.0
267,QuickSort3Way,247707,0.03162740000152553,0.0
268,QuickSort3Way,278255,0.02379590000055032,0.0
