algorithm,n,m,time,type
QuickSort3Way,9999,100000,0.03984119999950053,Variazione n
CountingSort,9999,100000,0.003811200000200188,Variazione n
RadixSort,9999,100000,0.009265500000765314,Variazione n
QuickSort,10722,100000,0.033847300001070835,Variazione n
QuickSort3Way,10722,100000,0.0335603000021365,Variazione n
CountingSort,10722,100000,0.006719000002703979,Variazione n
RadixSort,10722,100000,0.011208300000362215,Variazione n
QuickSort,11497,100000,0.01610689999870374,Variazione n
QuickSort3Way,11497,100000,0.01964659999975993,Variazione n
CountingSort,11497,100000,0.007677999999941676,Variazione n
RadixSort,11497,100000,0.0030695999976160238,Variazione n
QuickSort,12328,100000,0.018094699998982833,Variazione n
QuickSort3Way,12328,100000,0.05077230000097188,Variazione n
CountingSort,12328,100000,0.007233299998915754,Variazione n
RadixSort,12328,100000,0.01673529999970924,Variazione n
QuickSort,13219,100000,0.039782399997420725,Variazione n
QuickSort3Way,13219,100000,0.04331879999881494,Variazione n
CountingSort,13219,100000,0.011099499997726525,Variazione n
RadixSort,13219,100000,0.014343799999551266,Variazione n
QuickSort,14174,100000,0.04802240000208258,Variazione n
QuickSort3Way,14174,100000,0.04640960000142513,Variazione n
CountingSort,14174,100000,0.019627600000603707,Variazione n
RadixSort,14174,100000,0.007895300001109717,Variazione n
QuickSort,15199,100000,0.04051860000072338,Variazione n
QuickSort3Way,15199,100000,0.061277099997823825,Variazione n
CountingSort,15199,100000,0.01638509999793314,Variazione n
RadixSort,15199,100000,0.009988100000555278,Variazione n
QuickSort,16297,100000,0.03856730000006792,Variazione n
QuickSort3Way,16297,100000,0.034365099998467485,Variazione n
CountingSort,16297,100000,0.006462600000304519,Variazione n
RadixSort,16297,100000,0.013868199999706121,Variazione n
QuickSort,17475,100000,0.031280500001230394,Variazione n
QuickSort3Way,17475,100000,0.0664602000015293,Variazione n
CountingSort,17475,100000,0.020811200001844554,Variazione n
RadixSort,17475,100000,0.027408600000853767,Variazione n
QuickSort,18738,100000,0.03421810000145342,Variazione n
QuickSort3Way,18738,100000,0.0839947000004031,Variazione n
CountingSort,18738,100000,0.01709140000093612,Variazione n
RadixSort,18738,100000,0.019930700000259094,Variazione n
QuickSort,20092,100000,0.045168399998146924,Variazione n
QuickSort3Way,20092,100000,0.08637539999836008,Variazione n
CountingSort,20092,100000,0.027786499998910585,Variazione n
RadixSort,20092,100000,0.035676399998919806,Variazione n
QuickSort,21544,100000,0.05454470000040601,Variazione n
QuickSort3Way,21544,100000,0.09017550000135088,Variazione n
CountingSort,21544,100000,0.00808119999965129,Variazione n
RadixSort,21544,100000,0.028038700000251993,Variazione n
QuickSort,23101,100000,0.06100730000071053,Variazione n
QuickSort3Way,23101,100000,0.11251869999978226,Variazione n
CountingSort,23101,100000,0.018207900000561494,Variazione n
RadixSort,23101,100000,0.011432400000558118,Variazione n
QuickSort,24770,100000,0.04271109999899636,Variazione n
QuickSort3Way,24770,100000,0.06285060000118392,Variazione n
CountingSort,24770,100000,0.014173800000207848,Variazione n
RadixSort,24770,100000,0.03099380000094243,Variazione n
QuickSort,26560,100000,0.03966659999969124,Variazione n
QuickSort3Way,26560,100000,0.12608200000067882,Variazione n
CountingSort,26560,100000,0.02298299999893061,Variazione n
RadixSort,26560,100000,0.03029700000115554,Variazione n
QuickSort,28480,100000,0.07843230000071344,Variazione n
QuickSort3Way,28480,100000,0.07537159999992582,Variazione n
CountingSort,28480,100000,0.021713099999033147,Variazione n
RadixSort,28480,100000,0.03621469999961846,Variazione n
QuickSort,30538,100000,0.10012230000029376,Variazione n
QuickSort3Way,30538,100000,0.12340820000099484,Variazione n
CountingSort,30538,100000,0.006276500002059038,Variazione n
RadixSort,30538,100000,0.011489000002256944,Variazione n
QuickSort,32745,100000,0.06116940000174509,Variazione n
QuickSort3Way,32745,100000,0.13382720000117843,Variazione n
CountingSort,32745,100000,0.017644399998971494,Variazione n
RadixSort,32745,100000,0.023736499999358784,Variazione n
QuickSort,35111,100000,0.0792607000003045,Variazione n
QuickSort3Way,35111,100000,0.16786519999914162,Variazione n
CountingSort,35111,100000,0.03936679999969783,Variazione n
RadixSort,35111,100000,0.030014500000106636,Variazione n
QuickSort,37649,100000,0.08525330000156828,Variazione n
QuickSort3Way,37649,100000,0.19220130000030622,Variazione n
CountingSort,37649,100000,0.01687110000057146,Variazione n
RadixSort,37649,100000,0.023155600001700805,Variazione n
QuickSort,40370,100000,0.11131510000086564,Variazione n
QuickSort3Way,40370,100000,0.18321060000198486,Variazione n
CountingSort,40370,100000,0.020890499999950407,Variazione n
RadixSort,40370,100000,0.03325250000125379,Variazione n
QuickSort,43287,100000,0.09976110000025074,Variazione n
QuickSort3Way,43287,100000,0.14662829999906535,Variazione n
CountingSort,43287,100000,0.01992459999928542,Variazione n
RadixSort,43287,100000,0.02622430000155873,Variazione n
QuickSort,46415,100000,0.09869549999893934,Variazione n
QuickSort3Way,46415,100000,0.20215509999979986,Variazione n
CountingSort,46415,100000,0.016501399999469868,Variazione n
RadixSort,46415,100000,0.021510599999601254,Variazione n
QuickSort,49770,100000,0.1248488000001089,Variazione n
QuickSort3Way,49770,100000,0.26717009999993024,Variazione n
CountingSort,49770,100000,0.03711259999909089,Variazione n
RadixSort,49770,100000,0.05961389999902167,Variazione n
QuickSort,53366,100000,0.15249140000196348,Variazione n
QuickSort3Way,53366,100000,0.23570910000125878,Variazione n
RadixSort,53366,100000,0.04257300000062969,Variazione n
QuickSort,57223,100000,0.13615800000115996,Variazione n
QuickSort3Way,57223,100000,0.23931980000088515,Variazione n
RadixSort,57223,100000,0.06145440000000235,Variazione n
QuickSort,61359,100000,0.13328319999891391,Variazione n
QuickSort3Way,61359,100000,0.2826660000009724,Variazione n
RadixSort,61359,100000,0.07588860000032582,Variazione n
QuickSort,65793,100000,0.18962109999847598,Variazione n
QuickSort3Way,65793,100000,0.35058980000030715,Variazione n
RadixSort,65793,100000,0.0891496999993251,Variazione n
